Python,R,Python result,R result,Row Diff,Col Diff,Semantic,Largest Common,Edit Distance
mslacc.iloc[:8],"distinct(select(mslacc, col1))","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","   col1
1     3
2     6
3     4
4     8
5     1",2,3,0.6,"Row: 0:4, Col: 1:1",0.335
mslacc.iloc[:8],"select(mslacc, -c(col1, col2))","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","   col0  col3
0     0     1
1     2     3
2     3     5
3     8     6
4     5     6
5     8     5
6     4     0",0,2,0.5,"Row: 0:6, Col: 0:1",0.461
mslacc.iloc[:8],head(mslacc),"   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5",1,0,1.0,"Row: 0:5, Col: 0:3",0.522
mslacc.iloc[:8],"select(mslacc, col1:col3)","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","   col1  col2  col3
0     3  ID_7     1
1     6  ID_4     3
2     4  ID_5     5
3     3  ID_6     6
4     8  ID_4     6
5     1  ID_6     5
6     3  ID_8     0",0,1,1.0,"Row: 0:6, Col: 1:3",0.544
mslacc.iloc[:8],"mslacc[1:5, 1:3]","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","   col0  col1  col2
0     0     3  ID_7
1     2     6  ID_4
2     3     4  ID_5
3     8     3  ID_6
4     5     8  ID_4",2,1,1.0,"Row: 0:4, Col: 0:2",0.733
"mslacc.iloc[0:5, 0:3]","distinct(select(mslacc, col1, col2))","   col0  col1  col2
0     0     3  ID_7
1     2     6  ID_4
2     3     4  ID_5
3     8     3  ID_6
4     5     8  ID_4","   col1  col2
1     3  ID_7
2     6  ID_4
3     4  ID_5
4     3  ID_6
5     8  ID_4
6     1  ID_6
7     3  ID_8",2,1,1.0,"Row: 2:6, Col: 1:2",0.462
"mslacc.iloc[0:5, 0:3]","arrange(mslacc, col1, col2)","   col0  col1  col2
0     0     3  ID_7
1     2     6  ID_4
2     3     4  ID_5
3     8     3  ID_6
4     5     8  ID_4","   col0  col1  col2  col3
1     8     1  ID_6     5
2     8     3  ID_6     6
3     0     3  ID_7     1
4     4     3  ID_8     0
5     3     4  ID_5     5
6     2     6  ID_4     3
7     5     8  ID_4     6",2,1,0.6,"Row: 2:6, Col: 0:2",0.5
"mslacc.iloc[0:5, 0:3]","select(mslacc, col1, col2)","   col0  col1  col2
0     0     3  ID_7
1     2     6  ID_4
2     3     4  ID_5
3     8     3  ID_6
4     5     8  ID_4","   col1  col2
0     3  ID_7
1     6  ID_4
2     4  ID_5
3     3  ID_6
4     8  ID_4
5     1  ID_6
6     3  ID_8",2,1,1.0,"Row: 2:6, Col: 1:2",0.472
"mslacc.iloc[0:5, 0:3]","mslacc[mslacc$col1 == 1 & mslacc$col3 == 1, ]","   col0  col1  col2
0     0     3  ID_7
1     2     6  ID_4
2     3     4  ID_5
3     8     3  ID_6
4     5     8  ID_4","   col0  col1  col2  col3
6     3     1  ID_3     1",4,1,0.333,"Row: 2:2, Col: 0:2",0.538
"mslacc.iloc[0:5, 0:3]","arrange(mslacc, desc(col1))","   col0  col1  col2
0     0     3  ID_7
1     2     6  ID_4
2     3     4  ID_5
3     8     3  ID_6
4     5     8  ID_4","   col0  col1  col2  col3
1     5     8  ID_4     6
2     2     6  ID_4     3
3     3     4  ID_5     5
4     0     3  ID_7     1
5     8     3  ID_6     6
6     4     3  ID_8     0
7     8     1  ID_6     5",2,1,0.467,"Row: 0:4, Col: 0:2",0.444
"mslacc.iloc[0:5, 0:3]","mslacc[1:7, ]","   col0  col1  col2
0     0     3  ID_7
1     2     6  ID_4
2     3     4  ID_5
3     8     3  ID_6
4     5     8  ID_4","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0",2,1,1.0,"Row: 0:4, Col: 0:2",0.733
"mslacc.iloc[0:5, 0:3]","mslacc[1:8, ]","   col0  col1  col2
0     0     3  ID_7
1     2     6  ID_4
2     3     4  ID_5
3     8     3  ID_6
4     5     8  ID_4","          col0        col1  col2        col3
0            0           3  ID_7           1
1            2           6  ID_4           3
2            3           4  ID_5           5
3            8           3  ID_6           6
4            5           8  ID_4           6
5            8           1  ID_6           5
6            4           3  ID_8           0
NA -2147483648 -2147483648    NA -2147483648",3,1,1.0,"Row: 0:4, Col: 0:2",0.733
"mslacc.iloc[0:5, 0:3]","distinct(select(mslacc, col1))","   col0  col1  col2
0     0     3  ID_7
1     2     6  ID_4
2     3     4  ID_5
3     8     3  ID_6
4     5     8  ID_4","   col1
1     3
2     6
3     4
4     8
5     1",0,2,0.6,"Row: 0:4, Col: 1:1",0.475
"mslacc.iloc[0:5, 0:3]","select(mslacc, -c(col1, col2))","   col0  col1  col2
0     0     3  ID_7
1     2     6  ID_4
2     3     4  ID_5
3     8     3  ID_6
4     5     8  ID_4","   col0  col3
0     0     1
1     2     3
2     3     5
3     8     6
4     5     6
5     8     5
6     4     0",2,1,0.5,"Row: 2:6, Col: 0:1",0.452
"mslacc.iloc[0:5, 0:3]",head(mslacc),"   col0  col1  col2
0     0     3  ID_7
1     2     6  ID_4
2     3     4  ID_5
3     8     3  ID_6
4     5     8  ID_4","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5",1,1,1.0,"Row: 0:4, Col: 0:2",0.489
"mslacc.iloc[0:5, 0:3]","select(mslacc, col1:col3)","   col0  col1  col2
0     0     3  ID_7
1     2     6  ID_4
2     3     4  ID_5
3     8     3  ID_6
4     5     8  ID_4","   col1  col2  col3
0     3  ID_7     1
1     6  ID_4     3
2     4  ID_5     5
3     3  ID_6     6
4     8  ID_4     6
5     1  ID_6     5
6     3  ID_8     0",2,0,0.133,"Row: 1:5, Col: 0:2",0.547
"mslacc.iloc[0:5, 0:3]","mslacc[1:5, 1:3]","   col0  col1  col2
0     0     3  ID_7
1     2     6  ID_4
2     3     4  ID_5
3     8     3  ID_6
4     5     8  ID_4","   col0  col1  col2
0     0     3  ID_7
1     2     6  ID_4
2     3     4  ID_5
3     8     3  ID_6
4     5     8  ID_4",0,0,1.0,"Row: 0:4, Col: 0:2",0.839
mslacc.head(),"distinct(select(mslacc, col1, col2))","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6","   col1  col2
1     3  ID_7
2     6  ID_4
3     4  ID_5
4     3  ID_6
5     8  ID_4
6     1  ID_6
7     3  ID_8",2,2,1.0,"Row: 2:6, Col: 1:2",0.392
mslacc.head(),"arrange(mslacc, col1, col2)","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6","   col0  col1  col2  col3
1     8     1  ID_6     5
2     8     3  ID_6     6
3     0     3  ID_7     1
4     4     3  ID_8     0
5     3     4  ID_5     5
6     2     6  ID_4     3
7     5     8  ID_4     6",2,0,0.6,"Row: 2:6, Col: 0:3",0.428
mslacc.head(),"select(mslacc, col1, col2)","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6","   col1  col2
0     3  ID_7
1     6  ID_4
2     4  ID_5
3     3  ID_6
4     8  ID_4
5     1  ID_6
6     3  ID_8",2,2,1.0,"Row: 2:6, Col: 1:2",0.504
mslacc.head(),"mslacc[mslacc$col1 == 1 & mslacc$col3 == 1, ]","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6","   col0  col1  col2  col3
4     9     1  ID_2     1",4,0,0.25,"Row: 0:0, Col: 0:3",0.574
mslacc.head(),"arrange(mslacc, desc(col1))","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6","   col0  col1  col2  col3
1     5     8  ID_4     6
2     2     6  ID_4     3
3     3     4  ID_5     5
4     0     3  ID_7     1
5     8     3  ID_6     6
6     4     3  ID_8     0
7     8     1  ID_6     5",2,0,0.5,"Row: 0:4, Col: 0:3",0.453
mslacc.head(),"mslacc[1:7, ]","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0",2,0,1.0,"Row: 0:4, Col: 0:3",0.654
mslacc.head(),"mslacc[1:8, ]","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6","          col0        col1  col2        col3
0            0           3  ID_7           1
1            2           6  ID_4           3
2            3           4  ID_5           5
3            8           3  ID_6           6
4            5           8  ID_4           6
5            8           1  ID_6           5
6            4           3  ID_8           0
NA -2147483648 -2147483648    NA -2147483648",3,0,1.0,"Row: 0:4, Col: 0:3",0.654
mslacc.head(),"distinct(select(mslacc, col1))","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6","   col1
1     3
2     6
3     4
4     8
5     1",0,3,0.6,"Row: 0:4, Col: 1:1",0.399
mslacc.head(),"select(mslacc, -c(col1, col2))","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6","   col0  col3
0     0     1
1     2     3
2     3     5
3     8     6
4     5     6
5     8     5
6     4     0",2,2,0.5,"Row: 2:6, Col: 0:1",0.488
mslacc.head(),head(mslacc),"   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5",1,0,1.0,"Row: 0:4, Col: 0:3",0.615
mslacc.head(),"select(mslacc, col1:col3)","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6","   col1  col2  col3
0     3  ID_7     1
1     6  ID_4     3
2     4  ID_5     5
3     3  ID_6     6
4     8  ID_4     6
5     1  ID_6     5
6     3  ID_8     0",2,1,1.0,"Row: 2:6, Col: 1:3",0.504
mslacc.head(),"mslacc[1:5, 1:3]","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6","   col0  col1  col2
0     0     3  ID_7
1     2     6  ID_4
2     3     4  ID_5
3     8     3  ID_6
4     5     8  ID_4",0,1,1.0,"Row: 0:4, Col: 0:2",0.621
"mslacc[['col1', 'col2']].drop_duplicates()","distinct(select(mslacc, col1, col2))","   col1  col2
0     3  ID_7
1     6  ID_4
2     4  ID_5
3     3  ID_6
4     8  ID_4
5     1  ID_6
6     3  ID_8","   col1  col2
1     3  ID_7
2     6  ID_4
3     4  ID_5
4     3  ID_6
5     8  ID_4
6     1  ID_6
7     3  ID_8",0,0,1.0,"Row: 0:6, Col: 0:1",0.517
"mslacc[['col1', 'col2']].drop_duplicates()","arrange(mslacc, col1, col2)","   col1  col2
0     3  ID_7
1     6  ID_4
2     4  ID_5
3     3  ID_6
4     8  ID_4
5     1  ID_6
6     3  ID_8","   col0  col1  col2  col3
1     4     1  ID_6     8
2     6     3  ID_8     3
3     2     4  ID_7     7
4     8     5  ID_1     1
5     4     5  ID_5     8
6     3     7  ID_8     5",1,2,0.167,"Row: 0:5, Col: 0:1",0.555
"mslacc[['col1', 'col2']].drop_duplicates()","select(mslacc, col1, col2)","   col1  col2
0     3  ID_7
1     6  ID_4
2     4  ID_5
3     3  ID_6
4     8  ID_4
5     1  ID_6
6     3  ID_8","   col1  col2
0     3  ID_7
1     6  ID_4
2     4  ID_5
3     3  ID_6
4     8  ID_4
5     1  ID_6
6     3  ID_8",0,0,1.0,"Row: 0:6, Col: 0:1",0.519
"mslacc[['col1', 'col2']].drop_duplicates()","mslacc[mslacc$col1 == 1 & mslacc$col3 == 1, ]","   col1  col2
0     3  ID_7
1     6  ID_4
2     4  ID_5
3     3  ID_6
4     8  ID_4
5     1  ID_6
6     3  ID_8","   col0  col1  col2  col3
4     9     1  ID_2     1",6,2,0.5,"Row: 1:1, Col: 1:2",0.558
"mslacc[['col1', 'col2']].drop_duplicates()","arrange(mslacc, desc(col1))","   col1  col2
0     3  ID_7
1     6  ID_4
2     4  ID_5
3     3  ID_6
4     8  ID_4
5     1  ID_6
6     3  ID_8","   col0  col1  col2  col3
1     5     8  ID_4     6
2     2     6  ID_4     3
3     3     4  ID_5     5
4     0     3  ID_7     1
5     8     3  ID_6     6
6     4     3  ID_8     0
7     8     1  ID_6     5",0,2,0.357,"Row: 0:6, Col: 1:2",0.465
"mslacc[['col1', 'col2']].drop_duplicates()","mslacc[1:7, ]","   col1  col2
0     3  ID_7
1     6  ID_4
2     4  ID_5
3     3  ID_6
4     8  ID_4
5     1  ID_6
6     3  ID_8","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0",0,2,1.0,"Row: 0:6, Col: 1:2",0.657
"mslacc[['col1', 'col2']].drop_duplicates()","mslacc[1:8, ]","   col1  col2
0     3  ID_7
1     6  ID_4
2     4  ID_5
3     3  ID_6
4     8  ID_4
5     1  ID_6
6     3  ID_8","          col0        col1  col2        col3
0            0           3  ID_7           1
1            2           6  ID_4           3
2            3           4  ID_5           5
3            8           3  ID_6           6
4            5           8  ID_4           6
5            8           1  ID_6           5
6            4           3  ID_8           0
NA -2147483648 -2147483648    NA -2147483648",1,2,1.0,"Row: 0:6, Col: 1:2",0.657
"mslacc[['col1', 'col2']].drop_duplicates()","distinct(select(mslacc, col1))","   col1  col2
0     3  ID_7
1     6  ID_4
2     4  ID_5
3     3  ID_6
4     8  ID_4
5     1  ID_6
6     3  ID_8","   col1
1     3
2     6
3     4
4     8
5     1",2,1,0.6,"Row: 0:4, Col: 0:0",0.473
"mslacc[['col1', 'col2']].drop_duplicates()","select(mslacc, -c(col1, col2))","   col1  col2
0     3  ID_7
1     6  ID_4
2     4  ID_5
3     3  ID_6
4     8  ID_4
5     1  ID_6
6     3  ID_8","   col0  col3
0     2     7
1     4     8
2     8     1
3     4     8
4     6     3
5     3     5",1,0,0.167,"Row: 1:6, Col: 0:1",0.546
"mslacc[['col1', 'col2']].drop_duplicates()",head(mslacc),"   col1  col2
0     3  ID_7
1     6  ID_4
2     4  ID_5
3     3  ID_6
4     8  ID_4
5     1  ID_6
6     3  ID_8","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5",1,2,1.0,"Row: 1:6, Col: 1:2",0.438
"mslacc[['col1', 'col2']].drop_duplicates()","select(mslacc, col1:col3)","   col1  col2
0     3  ID_7
1     6  ID_4
2     4  ID_5
3     3  ID_6
4     8  ID_4
5     1  ID_6
6     3  ID_8","   col1  col2  col3
0     3  ID_7     1
1     6  ID_4     3
2     4  ID_5     5
3     3  ID_6     6
4     8  ID_4     6
5     1  ID_6     5
6     3  ID_8     0",0,1,1.0,"Row: 0:6, Col: 0:1",0.508
"mslacc[['col1', 'col2']].drop_duplicates()","mslacc[1:5, 1:3]","   col1  col2
0     3  ID_7
1     6  ID_4
2     4  ID_5
3     3  ID_6
4     8  ID_4
5     1  ID_6
6     3  ID_8","   col0  col1  col2
0     0     3  ID_7
1     2     6  ID_4
2     3     4  ID_5
3     8     3  ID_6
4     5     8  ID_4",2,1,1.0,"Row: 2:6, Col: 1:2",0.637
mslacc[['col1']].shape,"mslacc[[""col1""]]","[7, 1]",[3 6 4 3 8 1 3],,,0.167,,0.837
mslacc[['col1']].shape,"mslacc[2, ""col1""]","[7, 1]",[1],,,0.5,,0.765
mslacc[['col1']].shape,"dim(mslacc[c(""col1"")])","[7, 1]",[7 1],,,1.0,,0.697
mslacc[['col1']].shape,dim(mslacc),"[7, 1]",[7 4],,,0.333,,0.606
"mslacc.loc[:, 'col1':'col3']","distinct(select(mslacc, col1, col2))","   col1  col2  col3
0     3  ID_7     1
1     6  ID_4     3
2     4  ID_5     5
3     3  ID_6     6
4     8  ID_4     6
5     1  ID_6     5
6     3  ID_8     0","   col1  col2
1     3  ID_7
2     6  ID_4
3     4  ID_5
4     3  ID_6
5     8  ID_4
6     1  ID_6
7     3  ID_8",0,1,1.0,"Row: 0:6, Col: 0:1",0.548
"mslacc.loc[:, 'col1':'col3']","arrange(mslacc, col1, col2)","   col1  col2  col3
0     3  ID_7     1
1     6  ID_4     3
2     4  ID_5     5
3     3  ID_6     6
4     8  ID_4     6
5     1  ID_6     5
6     3  ID_8     0","   col0  col1  col2  col3
1     4     1  ID_6     8
2     6     3  ID_8     3
3     2     4  ID_7     7
4     8     5  ID_1     1
5     4     5  ID_5     8
6     3     7  ID_8     5",1,1,0.167,"Row: 1:6, Col: 1:3",0.55
"mslacc.loc[:, 'col1':'col3']","select(mslacc, col1, col2)","   col1  col2  col3
0     3  ID_7     1
1     6  ID_4     3
2     4  ID_5     5
3     3  ID_6     6
4     8  ID_4     6
5     1  ID_6     5
6     3  ID_8     0","   col1  col2
0     3  ID_7
1     6  ID_4
2     4  ID_5
3     3  ID_6
4     8  ID_4
5     1  ID_6
6     3  ID_8",0,1,1.0,"Row: 0:6, Col: 0:1",0.597
"mslacc.loc[:, 'col1':'col3']","mslacc[mslacc$col1 == 1 & mslacc$col3 == 1, ]","   col1  col2  col3
0     3  ID_7     1
1     6  ID_4     3
2     4  ID_5     5
3     3  ID_6     6
4     8  ID_4     6
5     1  ID_6     5
6     3  ID_8     0","   col0  col1  col2  col3
4     9     1  ID_2     1",6,1,0.333,"Row: 1:1, Col: 1:3",0.63
"mslacc.loc[:, 'col1':'col3']","arrange(mslacc, desc(col1))","   col1  col2  col3
0     3  ID_7     1
1     6  ID_4     3
2     4  ID_5     5
3     3  ID_6     6
4     8  ID_4     6
5     1  ID_6     5
6     3  ID_8     0","   col0  col1  col2  col3
1     5     8  ID_4     6
2     2     6  ID_4     3
3     3     4  ID_5     5
4     0     3  ID_7     1
5     8     3  ID_6     6
6     4     3  ID_8     0
7     8     1  ID_6     5",0,1,0.381,"Row: 0:6, Col: 1:3",0.538
"mslacc.loc[:, 'col1':'col3']","mslacc[1:7, ]","   col1  col2  col3
0     3  ID_7     1
1     6  ID_4     3
2     4  ID_5     5
3     3  ID_6     6
4     8  ID_4     6
5     1  ID_6     5
6     3  ID_8     0","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0",0,1,1.0,"Row: 0:6, Col: 1:3",0.694
"mslacc.loc[:, 'col1':'col3']","mslacc[1:8, ]","   col1  col2  col3
0     3  ID_7     1
1     6  ID_4     3
2     4  ID_5     5
3     3  ID_6     6
4     8  ID_4     6
5     1  ID_6     5
6     3  ID_8     0","          col0        col1  col2        col3
0            0           3  ID_7           1
1            2           6  ID_4           3
2            3           4  ID_5           5
3            8           3  ID_6           6
4            5           8  ID_4           6
5            8           1  ID_6           5
6            4           3  ID_8           0
NA -2147483648 -2147483648    NA -2147483648",1,1,1.0,"Row: 0:6, Col: 1:3",0.694
"mslacc.loc[:, 'col1':'col3']","distinct(select(mslacc, col1))","   col1  col2  col3
0     3  ID_7     1
1     6  ID_4     3
2     4  ID_5     5
3     3  ID_6     6
4     8  ID_4     6
5     1  ID_6     5
6     3  ID_8     0","   col1
1     3
2     6
3     4
4     8
5     1",2,2,0.6,"Row: 0:4, Col: 0:0",0.508
"mslacc.loc[:, 'col1':'col3']","select(mslacc, -c(col1, col2))","   col1  col2  col3
0     3  ID_7     1
1     6  ID_4     3
2     4  ID_5     5
3     3  ID_6     6
4     8  ID_4     6
5     1  ID_6     5
6     3  ID_8     0","   col0  col3
0     0     1
1     2     3
2     3     5
3     8     6
4     5     6
5     8     5
6     4     0",0,1,0.5,"Row: 0:6, Col: 1:2",0.586
"mslacc.loc[:, 'col1':'col3']",head(mslacc),"   col1  col2  col3
0     3  ID_7     1
1     6  ID_4     3
2     4  ID_5     5
3     3  ID_6     6
4     8  ID_4     6
5     1  ID_6     5
6     3  ID_8     0","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5",1,1,1.0,"Row: 1:6, Col: 1:3",0.463
"mslacc.loc[:, 'col1':'col3']","select(mslacc, col1:col3)","   col1  col2  col3
0     3  ID_7     1
1     6  ID_4     3
2     4  ID_5     5
3     3  ID_6     6
4     8  ID_4     6
5     1  ID_6     5
6     3  ID_8     0","   col1  col2  col3
0     3  ID_7     1
1     6  ID_4     3
2     4  ID_5     5
3     3  ID_6     6
4     8  ID_4     6
5     1  ID_6     5
6     3  ID_8     0",0,0,1.0,"Row: 0:6, Col: 0:2",0.657
"mslacc.loc[:, 'col1':'col3']","mslacc[1:5, 1:3]","   col1  col2  col3
0     3  ID_7     1
1     6  ID_4     3
2     4  ID_5     5
3     3  ID_6     6
4     8  ID_4     6
5     1  ID_6     5
6     3  ID_8     0","   col0  col1  col2
0     0     3  ID_7
1     2     6  ID_4
2     3     4  ID_5
3     8     3  ID_6
4     5     8  ID_4",2,0,0.133,"Row: 1:5, Col: 0:2",0.714
"mslacc.drop(['col1', 'col2'], axis=1)","distinct(select(mslacc, col1, col2))","   col0  col3
0     0     1
1     2     3
2     3     5
3     8     6
4     5     6
5     8     5
6     4     0","   col1  col2
1     7  ID_3
2     3  ID_3
3     5  ID_7",4,0,0.167,"Row: 1:3, Col: 0:1",0.578
"mslacc.drop(['col1', 'col2'], axis=1)","arrange(mslacc, col1, col2)","   col0  col3
0     0     1
1     2     3
2     3     5
3     8     6
4     5     6
5     8     5
6     4     0","   col0  col1  col2  col3
1     8     1  ID_6     5
2     8     3  ID_6     6
3     0     3  ID_7     1
4     4     3  ID_8     0
5     3     4  ID_5     5
6     2     6  ID_4     3
7     5     8  ID_4     6",0,2,0.143,"Row: 0:6, Col: 0:1",0.645
"mslacc.drop(['col1', 'col2'], axis=1)","select(mslacc, col1, col2)","   col0  col3
0     0     1
1     2     3
2     3     5
3     8     6
4     5     6
5     8     5
6     4     0","   col1  col2
0     7  ID_3
1     3  ID_3
2     5  ID_7",4,0,0.167,"Row: 1:3, Col: 0:1",0.607
"mslacc.drop(['col1', 'col2'], axis=1)","mslacc[mslacc$col1 == 1 & mslacc$col3 == 1, ]","   col0  col3
0     0     1
1     2     3
2     3     5
3     8     6
4     5     6
5     8     5
6     4     0","   col0  col1  col2  col3
4     9     1  ID_2     1",6,2,0.5,"Row: 6:6, Col: 0:1",0.583
"mslacc.drop(['col1', 'col2'], axis=1)","arrange(mslacc, desc(col1))","   col0  col3
0     0     1
1     2     3
2     3     5
3     8     6
4     5     6
5     8     5
6     4     0","   col0  col1  col2  col3
1     5     8  ID_4     6
2     2     6  ID_4     3
3     3     4  ID_5     5
4     0     3  ID_7     1
5     8     3  ID_6     6
6     4     3  ID_8     0
7     8     1  ID_6     5",0,2,0.214,"Row: 0:6, Col: 2:3",0.545
"mslacc.drop(['col1', 'col2'], axis=1)","mslacc[1:7, ]","   col0  col3
0     0     1
1     2     3
2     3     5
3     8     6
4     5     6
5     8     5
6     4     0","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0",0,2,0.5,"Row: 0:6, Col: 0:1",0.594
"mslacc.drop(['col1', 'col2'], axis=1)","mslacc[1:8, ]","   col0  col3
0     0     1
1     2     3
2     3     5
3     8     6
4     5     6
5     8     5
6     4     0","          col0        col1  col2        col3
0            0           3  ID_7           1
1            2           6  ID_4           3
2            3           4  ID_5           5
3            8           3  ID_6           6
4            5           8  ID_4           6
5            8           1  ID_6           5
6            4           3  ID_8           0
NA -2147483648 -2147483648    NA -2147483648",1,2,0.5,"Row: 0:6, Col: 0:1",0.594
"mslacc.drop(['col1', 'col2'], axis=1)","distinct(select(mslacc, col1))","   col0  col3
0     0     1
1     2     3
2     3     5
3     8     6
4     5     6
5     8     5
6     4     0","   col1
1     3
2     6
3     4
4     8
5     1",2,1,0.4,"Row: 2:6, Col: 0:0",0.524
"mslacc.drop(['col1', 'col2'], axis=1)","select(mslacc, -c(col1, col2))","   col0  col3
0     0     1
1     2     3
2     3     5
3     8     6
4     5     6
5     8     5
6     4     0","   col0  col3
0     0     1
1     2     3
2     3     5
3     8     6
4     5     6
5     8     5
6     4     0",0,0,1.0,"Row: 0:6, Col: 0:1",0.571
"mslacc.drop(['col1', 'col2'], axis=1)",head(mslacc),"   col0  col3
0     0     1
1     2     3
2     3     5
3     8     6
4     5     6
5     8     5
6     4     0","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5",1,2,0.5,"Row: 1:6, Col: 0:1",0.428
"mslacc.drop(['col1', 'col2'], axis=1)","select(mslacc, col1:col3)","   col0  col3
0     0     1
1     2     3
2     3     5
3     8     6
4     5     6
5     8     5
6     4     0","   col1  col2  col3
0     3  ID_7     1
1     6  ID_4     3
2     4  ID_5     5
3     3  ID_6     6
4     8  ID_4     6
5     1  ID_6     5
6     3  ID_8     0",0,1,0.5,"Row: 0:6, Col: 1:2",0.562
"mslacc.drop(['col1', 'col2'], axis=1)","mslacc[1:5, 1:3]","   col0  col3
0     0     1
1     2     3
2     3     5
3     8     6
4     5     6
5     8     5
6     4     0","   col0  col1  col2
0     0     3  ID_7
1     2     6  ID_4
2     3     4  ID_5
3     8     3  ID_6
4     5     8  ID_4",2,1,0.5,"Row: 2:6, Col: 0:1",0.587
